"bernie, aunt, uncle, real, stuart, welfare, cuban, invent, mentor, product, commercial, pose, estate, co, worker, deal, mace, grandma, money, dream"
"vijay, instruct, prisoner, hearing, brother, conclude, commissioner, upper, fix, kumar, thereafter, roll, possibly, elder, shortly, assistant, assign, risk, court, inspector"
"alex, confront, submarine, happen, voodoo, change, potentially, rumor, nazi, inhabitant, intrigue, glimpse, boat, river, photographer, notice, author, creature, expect, forever"
"alex, crime, bos, internal, dramatic, family, relationship, dodge, judgment, run, bring, infiltrate, conclusion, relentless, rank, fbi, organize, heavy, assignment, affect"
"mob, samuel, john, nickname, deeper, organize, father, month, crime, seek, character, discover, bail, anne, fancy, andy, entangle, feud, rat, set"
"ramon, karen, gamble, stepfather, deserve, cool, goon, max, blow, debt, rap, drink, neighborhood, rest, near, cover, reach, pay, finally, sister"
"wwe, rivalry, fan, personal, history, ricky, mainstream, timeless, equal, superstar, segment, debate, showdown, glory, boundary, narrate, championship, entertainment, round, pride"
"martial, art, corrupt, situation, community, film, movie, unthinkable, jet, li, storyline, city, chan, stream, jackie, example, quality, embrace, controversial, depict"
"leonard, fugitive, file, rob, arrest, team, dick, desk, pile, follow, trick, difference, trail, california, locate, phone, individual, chase, line, hour"
"marine, mankind, chapter, warrior, space, honour, weaponry, galaxy, pan, millennium, immortal, bio, invention, defender, devastating, emperor, worthy, expand, compose, available"
"princess, angelica, kidnap, galaxy, escort, nemesis, furious, bore, fair, obstacle, ship, vow, queen, space, unfortunately, allow, matter, deadly, dark, grow"
"bruno, commando, shocking, captive, solitary, interrupt, navy, commander, seal, asia, wash, reluctant, shake, core, elite, detail, crash, remote, uncover, island"
"follower, oppose, limit, arm, criminal, arjun, shankar, dismiss, unlike, imprison, bombay, easily, ed, pilot, underworld, didn, air, introduce, cut, martial"
"chuck, vigilante, criminal, unite, empire, kick, war, bit, organization, kid, wrong, top, government, country, brew, bring, occasion, name, tiny, syndicate"
"organization, fast, theo, execution, impulsive, payment, boss, operative, regular, global, alex, day, meaning, romance, connection, award, goal, driver, perfect, throw"
"oz, zombie, survivor, infection, infect, bomb, drop, ship, dead, kahn, save, campbell, infected, genetic, overrun, bio, bloodthirsty, dna, compound, lab"
"wong, police, covert, expensive, advance, successfully, raid, clue, terrible, technology, mistake, assign, operation, trust, conflict, detective, professional, investigate, steal, result"
"mikey, circus, mma, bar, patron, threaten, fight, blood, unless, club, kill, offer, realizes, frequent, saving, blackmail, disclose, father, jake, bottom"
"salvation, grace, faith, past, vanessa, shun, dear, suicidal, eldest, operative, compelling, gritty, dan, kill, greed, card, torment, guilt, gift, corruption"
"spy, code, decipher, peter, mission, aj, sebastian, katie, cia, inevitable, taylor, rely, navigate, training, grand, bomb, shape, luck, russian, humanity"
"tennis, school, team, club, regional, victory, tournament, round, regular, captain, play, match, skill, sense, player, accident, due, middle, eye, data"
"agent, drug, team, cooper, fanatic, athlete, miami, dive, leadership, winner, profile, victor, sky, undercover, position, sport, connect, air, assign, red"
"mill, owner, rupee, clever, mumbai, strategy, aftermath, mass, union, fell, describe, blame, earn, occur, tragedy, huge, attention, demand, low, nightmare"
"lucky, jake, jimmy, chuck, trafficking, nina, kong, hong, elsa, philip, triad, narrow, deliberately, taiwan, return, police, wong, chan, ambush, mistress"
"vijay, speak, able, husband, radha, merchant, delhi, testify, navy, bump, smuggler, disguise, vanish, resolve, retrieve, help, associate, hostage, underworld, court"
"game, player, select, organization, five, bloodthirsty, fight, foundation, afternoon, bet, mouse, participate, observe, prisoner, entertainment, recruit, combat, difference, stake, cat"
"chicago, gang, street, drug, stop, neighborhood, army, rule, boo, war, benjamin, comrade, johnson, city, robin, hood, cycle, matt, flood, globe"
"iran, phone, demonstration, student, cell, video, iranian, pierce, set, crowd, horrify, virus, genius, smuggle, relative, code, enlist, wound, internet, anti"
"belle, david, axel, escape, series, chen, fight, gritty, founder, nightclub, innocence, customer, taste, accuse, brutally, episode, wild, brutal, violence, actor"
"mike, lester, terrorist, bruce, cia, organization, weapon, agent, special, graf, trained, foil, noble, surveillance, albert, experimental, passenger, colonel, squad, plane"
"team, devious, iron, reluctant, currently, universe, core, origin, exploration, chaos, contact, david, soldier, medium, original, international, tale, dr, eventually, inside"
"jong, lin, che, lee, shao, town, official, school, corrupt, gangster, help, crime, former, student, hung, local, brother, fugitive, wong, beating"
"drug, solve, cop, mission, town, narcotic, contrast, bag, proud, syndicate, duo, lucky, reluctant, satisfy, venture, combine, fine, background, pair, increasingly"
"lord, gang, crime, drug, visa, crown, henchman, bob, except, exchange, straight, agree, desperate, famous, hit, career, chance, music, catch, eye"
"khan, mistake, city, pleasure, pocket, couldn, quarter, smuggle, redemption, hang, friend, avoid, unfortunately, court, disappear, friendship, shoot, cause, share, spend"
"bikram, tina, money, arrange, father, marriage, sister, break, rupee, bail, call, vikram, fix, deny, medicine, fell, amount, hat, elder, attitude"
"ben, film, budget, soldier, whom, crew, company, filming, cooper, ransom, mobile, invasion, lead, shut, wit, heavily, rely, silent, adam, speed"
"terrorist, durga, prasad, activity, investigation, dev, money, harass, terrorism, squad, source, anti, minister, progress, report, exchange, increase, pressure, chief, meeting"
"krishna, society, whenever, observe, temple, surface, lord, film, solve, church, god, recently, inspire, hero, destroy, modern, share, visit, evil, age"
"mission, arab, embassy, chosen, desk, covert, diplomat, tower, operative, oil, blow, hostage, paris, gold, double, background, report, western, meeting, easy"
"baltimore, freddie, brutality, richards, narcotic, cooper, realistic, enrage, marcus, seal, governor, stock, riot, intent, jackson, duo, example, funeral, betrayal, chaos"
"yakuza, motivation, gang, resolve, team, weapon, game, bad, steel, chairman, traumatic, closely, shady, tactic, infiltrate, monk, available, product, satisfy, bullet"
"jan, marie, blake, crime, gabriel, disturbed, drifter, bay, wilderness, home, canadian, psychic, grave, hostage, frame, talent, didn, serious, period, thriller"
"sri, rise, ashok, consisting, transportation, emperor, mother, force, injustice, mob, constant, reunite, torture, illegal, demand, legend, unable, hell, original, kid"
"shiva, uniform, towards, driver, father, gang, kajal, eventual, unthinkable, seed, rowdy, vengeful, crook, assailant, hatred, aftermath, vijay, employer, wing, initially"
"korean, japan, half, korea, loud, involvement, billion, mouth, gamble, syndicate, treasure, trio, stake, stumble, japanese, value, ready, female, famous, quickly"
"poland, tank, war, german, overrun, slow, troop, september, trigger, giant, speed, incredible, france, territory, european, lay, beginning, mistake, period, world"
"singh, sultan, amar, damodar, sher, rajesh, kill, vengeance, sentence, inspector, result, stop, sharda, hears, brother, unconscious, police, hideout, lodge, horse"
"chin, skate, search, nevada, conclude, bone, rip, pool, genre, spot, animal, chinese, california, locate, desert, path, spirit, inside, travel, stop"
"rescue, woman, playing, drifter, protector, vulnerable, pas, born, deception, knife, protection, winter, capable, clan, japan, ultimately, throw, near, hire, lover"
"lee, john, james, wong, stock, hears, slide, call, tip, saving, depressed, accountant, internal, meantime, heavily, climb, block, seriously, commercial, influential"
"rebel, country, gabriel, foursome, personnel, faction, physician, brink, unite, remove, mine, safety, vicious, revolution, tom, flee, border, jack, nation, talk"
"cartel, deceit, job, murder, especially, prison, try, blood, game, friend, rico, hand, real, move, wan, na, hitman, aren, start, unless"
"arun, laxmi, reveals, mother, father, kill, raise, hit, criminal, send, real, distraught, house, confronts, morality, nefarious, hearted, eliminate, pretty, version"
"gordon, fisherman, olga, seaside, town, guess, helicopter, fade, dinner, celebration, combine, rid, guard, st, ve, edge, church, approach, soldier, invite"
"inspector, police, amar, forest, assign, task, hideout, injure, lend, nevertheless, apprehend, tackle, kill, handle, devastate, alcoholic, trio, assignment, central, succeed"
"japan, world, threat, clad, weaponry, flower, transportation, division, proud, haven, evolve, defense, cult, assault, spiritual, combat, western, technology, traditional, guide"
"worker, sex, service, gate, vigilante, control, fee, access, market, population, private, class, rich, powerful, black, government, offer, laundry, weaponry, morality"
"scroll, silver, ninja, castle, lord, wife, former, counterpart, weaponry, bring, craft, awry, sneak, vast, retire, peaceful, treasure, hostage, duty, gold"
"mohan, durga, ajay, operate, crime, kill, believe, swears, trek, soon, publish, subsequently, argument, syndicate, afford, wealth, leave, catholic, blame, notorious"
"save, choir, playing, baker, underneath, swedish, tune, mini, lurk, motorcycle, bind, nuclear, bus, wave, corner, trio, twin, extreme, supernatural, ability"
"superhero, ace, rock, hollywood, kid, adventure, roll, action, shaw, taiwan, thompson, tokyo, slightly, disguise, scott, kevin, kong, hong, fantasy, version"
"kill, rape, captain, avenge, singh, sentence, locate, inspector, army, hunt, arrest, watch, dead, hand, belle, imprisonment, house, recognition, police, relieve"
"deep, unearth, enforcement, pocket, disguise, mouse, kill, employer, grandfather, multiple, own, bomb, elder, frame, cat, represent, forward, blue, evidence, else"
"base, nick, missile, force, unbeknownst, thinking, shut, panic, capable, nuclear, corner, launch, deliver, lock, message, air, remote, nation, terrorist, soldier"
"convince, volcano, professor, shepherd, unexplainable, recent, unfold, activity, john, government, student, extinction, erupt, catastrophe, wheelchair, run, potentially, scenario, devise, joke"
"peter, suit, carnage, green, parker, defeat, threat, test, alive, realize, learn, spider, harry, obtain, henchman, arise, ignore, pretty, anger, photographer"
"andrew, piece, dangerous, game, elijah, carter, ethan, shane, renegade, lin, mason, culprit, robin, sky, daniel, option, ed, loose, length, film"
"monster, creature, world, logan, voodoo, graf, frankenstein, dracula, werewolf, pirate, mystical, eternal, darkness, warrior, african, queen, hunter, chaos, earth, book"
"dragon, evil, prophecy, egg, faithful, homeland, companion, elder, embark, rid, defeat, ten, generation, fire, hero, raise, black, rise, truth, send"
"anu, identify, assault, mother, woman, time, division, name, father, kill, waste, upside, ensure, abduct, double, singh, brutally, attract, mom, individual"
"worship, skeptical, paranoid, salvation, lost, brian, slaughter, river, trace, ruin, survivor, church, speak, indian, innocent, quest, teenager, kid, abandon, choose"
"graham, champion, fight, active, promoter, notion, motion, jr, mixed, pit, grip, divide, wind, stake, client, martial, brutal, cross, road, light"
